game Majora's Mask Recompiled
locations
Great Bay Temple Froggy Entrance Room Underwater Chest	Great Bay Temple Caged Chest Room Underwater Chest
Great Bay Temple Green Pipe Freezable Waterwheel Upper Chest	Great Bay Temple Freezable Waterwheel Upper Chest SF
Great Bay Temple Room Behind Waterfall Ceiling Chest	Great Bay Temple Room Behind Waterfall Ceiling Chest SF
Great Bay Temple Seesaw Room Chest	Great Bay Temple Seesaw Room Chest SF
Great Bay Temple Green Pipe Freezable Waterwheel Lower Chest	Great Bay Temple Freezable Waterwheel Lower Chest SF
Great Bay Temple Four Torches Chest	Great Bay Temple Entrance Torches Chest SF
Great Bay Temple Bio-Baba Hall Chest	Great Bay Temple Bio-Baba Hall Chest SF
Great Bay Temple Froggy Entrance Room Upper Chest	Great Bay Temple Caged Chest Room Upper Chest
Great Bay Temple Red-Green Pipe First Room Chest	Great Bay Temple Before Red Valve Room Chest
Great Bay Temple Froggy Entrance Room Caged Chest	Great Bay Temple Mad Jellied Gekko Chest
Stone Tower Inverted Outside Right Chest	Stone Tower Inverted Right Chest
Stone Tower Inverted Outside Middle Chest	Stone Tower Inverted Middle Chest
Stone Tower Inverted Outside Left Chest	Stone Tower Inverted Left Chest
Twin Islands Spring Underwater Near Ramp Chest	Twin Islands Spring Underwater Ramp Chest
Secret Shrine Left Chest	Secret Shrine Dinolfos Chest
Secret Shrine Middle-Left Chest	Secret Shrine Wizzrobe Chest
Secret Shrine Middle-Right Chest	Secret Shrine Wart Chest
Secret Shrine Right Chest	Secret Shrine Garo Master Chest
Secret Shrine Center Chest	Secret Shrine Completion Chest
Stock Pot Inn Upstairs Middle Room Chest	Stock Pot Inn Locked Room Chest
Stock Pot Inn Employees Only Room Night 3 Chest	Stock Pot Inn Employee Room Chest
Don Gero Mask Frog Song HP	Mountain Village Spring Frog Choir HP
Tour Witch Target Shooting	Southern Swamp Boat Archery
Beaver Bros. Race HP	Beaver Bros. Race 2 HP
Southern Swamp Tour Guide Winning Picture	Southern Swamp Winning Picture
Great Bay Marine Research Lab Feeding Fish	Great Bay Feeding Lab Fish
Pinnacle Rock HP	Pinnacle Rock Seahorse HP
Zora Hall Piano Zora Song	Zora Hall Evan's Song
Termina Moon's Tear Scrub HP	Termina Scrub Grotto HP
Great Bay (Cleared) Fisherman Island Game HP	Great Bay Fisherman Game
Southern Swamp Tour Guide Okay Picture	Southern Swamp Okay Picture
Southern Swamp Tour Guide Good Picture	Southern Swamp Good Picture
Zora Cape Pot Game Silver Rupee	Zora Cape Pot Game
Goron Village Deku Scrub Purchase Bomb Bag	Goron Village Scrub Purchase
Southern Swamp Deku Scrub Purchase Beans	Southern Swamp Deku Scrub Purchase
Zora Hall Deku Scrub Purchase Green Potion	Zora Hall Deku Scrub Purchase
Ikana Canyon Deku Scrub Purchase Blue Potion	Ikana Canyon Scrub Purchase
Beaver Bros. Race Bottle Reward	Beaver Bros. Race 1
